Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
Hammer, Assault|—|1|95|1d6 B|-|—|-|-|1|analog|Advanced Melee Weapons|1
Longsword, Standard|—|1|375|1d8 S|-|—|-|-|1|analog|Advanced Melee Weapons|1
Starknife, Tactical|—|1|110|1d4 P|20 ft.|—|-|-|0.1|analog, thrown|Advanced Melee Weapons|1
Taclash, Standard|—|1|240|1d4 S|-|—|-|-|0.1|analog, disarm, nonlethal, reach, trip|Advanced Melee Weapons|1
Injection Glove|—|2|490|1d4 P|-|injection DC +2|-|-|0.1|analog, injection|Advanced Melee Weapons|1
Needler Estoc, Standard|—|2|175|1d6 P|-|Injection DC +2|-|-|0.1|injection|Advanced Melee Weapons|1
Velstrac Flenser, Ascetic|—|2|550|1d4 S & So|-|Bleed 1d4|20 charges|1|0.1||Advanced Melee Weapons|1
Hook Sword|—|3|1,420|1d8 S|-|bleed 1d4|-|-|0.1|analog, trip|Advanced Melee Weapons|1
Painclaw, Ghoulish|—|3|1,250|1d8 S & P|-|—|-|-|1|injection (see text), unwieldy|Advanced Melee Weapons|1
Talon, Drone|—|4|2,400|"1d6 A|s"|-|corrode 1d6|20 charges|1|0.1|modal|Advanced Melee Weapons|1
Warfan|—|5|3,070|1d8 S|-|—|-|-|0.1|analog, block|Advanced Melee Weapons|1
Battleaxe, Tactical|—|5|2,650|1d8 S|-|wound|-|-|1|analog|Advanced Melee Weapons|1
Hardlight Hand Wrap, Diffuse|—|5|3,180|1d6 B|-|—|20 charges|2|0.1|bright, force|Advanced Melee Weapons|1
Thresherblade, Tactical|—|5|3,200|1d10 S|-|bleed 1d6|-|-|1|analog|Advanced Melee Weapons|1
Living Lash|—|6|4,150|1d8 S|-|bind|20 charges|1|0.1|living, reach, thought, unwieldy|Advanced Melee Weapons|1
Mindspike, Tactical|—|6|4,400|1d8 P|-|staggered|-|-|0.1|analog|Advanced Melee Weapons|1
Needler Estoc, Sharp-pointed|—|6|4,000|1d8 P|-|Injection DC +2|-|-|0.1|injection|Advanced Melee Weapons|1
Fangblade|—|7|5,430|1d12 S|-|bleed 1d8|20 charges|1|1||Advanced Melee Weapons|1
Longsword, Sintered|—|7|8,420|2d8 S|-|—|-|-|1|analog|Advanced Melee Weapons|1
Polylash, Tactical|—|7|7,000|3d4 B|-|—|-|-|0.1|analog, disarm, polymorphic, reach, trip|Advanced Melee Weapons|1
Velstrac Flenser, Singer|—|7|6,600|2d6 S & So|-|Bleed 1d8|20 charges|1|0.1||Advanced Melee Weapons|1
Starknife, Sintered|—|8|9,810|4d4 P|50 ft.|—|-|-|0.1|analog, thrown|Advanced Melee Weapons|1
Talon, Warrior|—|8|10,500|"2d6 A|s"|-|corrode 1d6|20 charges|1|0.1|modal|Advanced Melee Weapons|1
Hardlight Hand Wrap, Ambient|—|9|13,100|2d8 B|-|—|20 charges|2|0.1|bright, force|Advanced Melee Weapons|1
Longsword, Microserrated|—|9|12,100|2d10 S|-|bleed 2d6|-|-|1|analog|Advanced Melee Weapons|1
Thresherblade, Microserrated|—|9|13,800|2d10 S|-|bleed 1d8|-|-|1|analog|Advanced Melee Weapons|1
Hammer, Comet|—|10|16,900|4d6 B|-|—|20 charges|2|1||Advanced Melee Weapons|1
Mindspike, Microserrated|—|10|18,450|3d8 P|-|staggered|-|-|0.1|analog|Advanced Melee Weapons|1
Needler Estoc, Hyper-pointed|—|10|17,500|4d6 P|-|Injection DC +2|-|-|0.1|injection|Advanced Melee Weapons|1
Longsword, Ultrathin|—|11|26,300|4d8 S|-|—|-|-|1|analog|Advanced Melee Weapons|1
Painclaw, Demonic|—|11|25,000|2d8 S & P|-|bleed 1d6|-|-|1|injection (see text), unwieldy|Advanced Melee Weapons|1
Polylash, Advanced|—|11|25,500|3d8 B|-|—|-|-|0.1|analog, disarm, polymorphic, reach, trip|Advanced Melee Weapons|1
Taclash, Numbing|—|11|24,800|5d4 S|-|—|20 charges|2|0.1|disarm, reach, stun, trip|Advanced Melee Weapons|1
Starknife, Accelerated|—|12|40,400|4d8 F & P|30 ft.|—|20 charges|1|0.1| thrown|Advanced Melee Weapons|1
