Name|Level|Price|Slots|Armor Type|Capacity|Usage|Bulk|Prerequisite
Weapon Spikes|1|0|1|Heavy, Powered|—|—|0|Heavy, Powered
Pet Carrier|1|100|1|Any|—|—|0.1|Light, Heavy, Powered
Easy Access Kit|1|125|1|Any|—|—|0.1|Light, Heavy, Powered
Grim Trophies (Magic)|1|125|1|Any|—|—|0|Light, Heavy, Powered
Light Projector|1|150|1|Any|20|1/hour|1|Light, Heavy, Powered
Tensile Reinforcement|1|150|1|Any|—|—|0|Light, Heavy, Powered
Thermal Regulator (Hybrid)|1|150|1|Any|—|—|0.1|Light, Heavy, Powered
[The skill bonus granted by concealed compartments is considered a circumstance bonus] Concealed Compartments|1|175|1|Any|—|—|0|Light, Heavy, Powered
Infrared Sensors|1|200|1|Any|—|—|0.1|Light, Heavy, Powered
Radiation Buffer|1|200|1|Any|—|—|0.1|Light, Heavy, Powered
Leapers|1|205|1|Light|20|1|0|Light
Slickskin|1|300|1|Light|—|—|0.1|Light
Quick-Release Sheath|1|325|1|Any|—|—|0.1|Light, Heavy, Powered
Agility Enhancer, Mk 1|1|375|1|Light, Heavy|—|—|0|Light, Heavy
Stabilizer Springs|1|400|1|Light, Heavy|—|—|0|Light, Heavy
Descent Thrusters|1|800|1|Any|—|—|0.1|Light, Heavy, Powered
Snarl Barbs|1|1,500|1|Any|—|—|0.1|Light, Heavy, Powered
Automated Loader|2|750|1|Powered|—|—|1|Powered
Auto-CPR Unit|2|850|1|Any|—|—|0|Light, Heavy, Powered
Jump Jets|2|1,000|1|Light, Heavy|20|2/action|0.1|Light, Heavy
Thrower Arms|2|1,000|1|Any|—|—|0|Light, Heavy, Powered
Juggernaut Boosters|3|1,200|1|Heavy, Powered|—|—|1|Heavy, Powered
Quicksuit (Hybrid)|3|1,300|1|Light, Heavy|—|—|0|Light, Heavy
Glamer Projector (Magic)|3|1,350|1|Light, Heavy|—|—|0.1|Light, Heavy
Hydrojet|3|1,400|1|Light, Heavy|20|2/hour|0|Light, Heavy
Mobility Enhancer, Mk 1|3|1,500|1|Heavy|—|—|0|Heavy
Force Field, Brown|3|1,600|2|Any|—|—|0.1|Light, Heavy, Powered
Exit Pod|4|1,750|1|Heavy, Powered|—|—|2|Heavy, Powered
Hover Field|4|1,800|1|Light|—|—|0.1|Light
Flashblinders, MK 1|4|2,000|1|Any|1|1|1|Light, Heavy, Powered
Backup Generator|4|2,100|1|Any|—|—|1|Light, Heavy, Powered
Longstrider Module|4|2,200|1|Light|—|—|0|Light
