Name|Level|Price|EAC Bonus|KAC Bonus|Maximum Dex Bonus|Armor Check Penalty|Speed Adjustment|Upgrade Slots|Bulk|Proficiency
Ceremonial Plate, Troop|1|110|1|3|2|-3|-2|3|3|Heavy
Reinforced EVA Suit, I|1|200|1|4|1|-3|-1|1|2|Heavy
Golemforged Plating, I|1|250|2|5|0|-3|-2|0|3|Heavy
Lashunta Ringwear, I|1|415|2|4|2|-2|-1|0|2|Heavy
Hidden Soldier Armor|2|465|3|5|2|-2|-1|1|2|Heavy
Formian Plate, Worker|2|480|3|6|1|-3|-1|0|3|Heavy
Iridishell, Basic|2|755|3|6|2|-2|-1|0|2|Heavy
Kyokor Plating, I|2|800|2|4|3|-1|-1|1|1|Heavy
Mining Jack, I|2|825|4|6|1|-3|-2|1|3|Heavy
Hellknight Plate, Armiger|2|980|4|5|2|-2|-2|2|3|Heavy
Thinplate|2|1,000|4|6|2|-3|-2|1|3|Heavy
Defiance Series, Squad|3|1,220|5|8|1|-4|-2|1|3|Heavy
Reinforced EVA Suit, II|3|1,300|4|8|1|-3|-1|1|3|Heavy
Golemforged Plating, II|3|1,610|5|7|2|-2|-2|1|3|Heavy
Aeon Guard, Battle Dress (Trooper)|3|1,650|5|7|2|-3|-2|2|3|Heavy
Formian Plate, Warrior|4|1,830|5|8|1|-3|-1|0|3|Heavy
Kalo Encounter Suit, I|4|1,980|7|8|2|-3|-2|1|3|Heavy
Dendron Armor, Ash|4|2,100|5|8|3|-2|-1|0|2|Heavy
Ceremonial Plate, Officer|4|2,275|6|8|2|-2|-1|1|2|Heavy
Formian Hide, Basic|4|2,400|7|8|2|-3|-1|2|2|Heavy
Mining Jack, II|5|2,750|8|11|1|-3|-2|2|3|Heavy
Lashunta Ringwear, II|5|2,970|8|10|2|-2|-1|1|2|Heavy
Hardplate, Basic|5|3,000|10|11|3|-2|-1|0|2|Heavy
Enforcer Armor, I|5|3,100|9|10|2|-4|-2|2|3|Heavy
Fossilwrap, I|5|3,100|9|9|2|-2|-1|1|2|Heavy
Hellknight Plate, Lictor|5|3,300|9|10|2|-2|-2|2|3|Heavy
Vesk Overplate, I|6|3,910|9|11|3|-2|-1|1|2|Heavy
Reinforced EVA Suit, III|6|4,060|8|12|2|-3|-1|2|3|Heavy
Inheritor's Grace, I|6|4,450|9|10|3|-2|-1|2|2|Heavy
Kyokor Plating, II|6|4,820|8|10|4|-1|-1|3|1|Heavy
Golemforged Plating, III|7|5,500|10|12|3|-2|-1|2|2|Heavy
Formian Hide, Advanced|7|6,100|10|12|3|-3|-1|3|2|Heavy
Defiance Series, Elite|7|6,300|10|13|2|-4|-2|2|3|Heavy
Dendron Armor, Yew|7|6,600|10|13|3|-2|-1|1|2|Heavy
Ceremonial Plate, Commander|7|7,350|10|12|2|-3|-2|5|3|Heavy
Lashunta Ringwear, III|8|8,420|12|14|3|-2|-1|3|2|Heavy
Night Plate, I|8|9,400|11|13|4|-2|-1|2|2|Heavy
Vesk Overplate, II|8|10,250|13|15|2|-3|-2|3|3|Heavy
Hardplate, Advanced|9|12,000|15|16|3|-2|-1|0|2|Heavy
Kalo Encounter Suit, II|9|12,900|15|16|2|-3|-2|3|3|Heavy
Iridishell, Advanced|9|13,100|13|15|3|0|0|3|2|Heavy
Skyfire Armor, Pinion|9|14,200|14|16|3|-2|-1|4|2|Heavy
