Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
NIL Grenade Launcher, Merc|—|1|280|by grenade |60 ft.|—|6 grenades|1|2|analog|Heavy Weapons|2
Psychic-Wave Cannon, I|—|2|1,100|1d6 |30 ft.|demoralize|20 charges|4|2|blast, living, mind-affecting, unwieldy|Heavy Weapons|2
Minelayer, Merc|—|3|1,470|—| |—|8 grenades|1|2|mine|Heavy Weapons|2
Acid Lancer, Corroder-Class|—|4|2,000|2d4 A|30 ft.|corrode 1d4|20 caustrol|4|2|analog, boost 1d4, line, unwieldy|Heavy Weapons|2
Psychic-Wave Cannon, II|—|5|3,520|1d12 |40 ft.|demoralize|20 charges|4|2|blast, living, mind-affecting, unwieldy|Heavy Weapons|2
Cluster Launcher, Tactical|—|6|4,150|—| |—|8 grenades|1|2|cluster (5 ft.)|Heavy Weapons|2
Minelayer, Squad|—|7|6,930|—| |—|12 grenades|1|2|mine|Heavy Weapons|2
Dissolver, Macrergate|—|8|10,000|2d8 A & F|40 ft.|corrode 2d4|40 charges|4|0.1|Blast, living, Swarm, unwieldy|Heavy Weapons|2
NIL Grenade Launcher, Squad|—|8|9,400|by grenade |70 ft.|—|12 grenades|1|3|analog|Heavy Weapons|2
Acid Lancer, Melter-Class|—|9|13,000|3d4 A|30 ft.|corrode 2d4|20 caustrol|5|2|analog, boost 1d6, line, unwieldy|Heavy Weapons|2
IMDS Missile Launcher|—|10|18,200|—|80 ft.|—|1 missile|1|2|—|Heavy Weapons|2
Psychic-Wave Cannon, III|—|11|28,200|2d12 |50 ft.|demoralize|20 charges|4|2|blast, living, mind-affecting, unwieldy|Heavy Weapons|2
Cluster Launcher, Advanced|—|12|35,800|—| |—|10 grenades|1|3|cluster (10 ft.)|Heavy Weapons|2
Dissolver, Dinergate|—|13|50,000|4d8 A & F|40 ft.|corrode 4d4|40 charges|5|0.1|Blast, living, Swarm, unwieldy|Heavy Weapons|2
Minelayer, Platoon|—|13|51,400|—| |—|16 grenades|1|2|mine|Heavy Weapons|2
Acid Lancer, Liquefier-Class|—|14|75,000|8d4 A|50 ft.|corrode 4d4|40 caustrol|8|2|analog, boost 1d8, line, unwieldy|Heavy Weapons|2
Cluster Launcher, Elite|—|15|105,000|—| |—|12 grenades|1|3|cluster (10 ft.)|Heavy Weapons|2
Psychic-Wave Cannon, IV|—|16|198,000|4d12 |50 ft.|demoralize|20 charges|4|2|blast, living, mind-affecting, unwieldy|Heavy Weapons|2
Minelayer, Command|—|17|243,000|—| |—|20 grenades|1|2|mine|Heavy Weapons|2
Cluster Launcher, Paragon|—|18|360,000|—| |—|16 grenades|1|3|cluster (15 ft.)|Heavy Weapons|2
Dissolver, Ergatoid|—|18|380,000|9d8 A & F|40 ft.|corrode 9d4|40 charges|5|0.1|Blast, living, Swarm, unwieldy|Heavy Weapons|2
Acid Lancer, Disintegrator-Class|—|19|550,000|8d8 A|50 ft.|corrode 6d4|40 caustrol|10|2|analog, boost 1d10, line, unwieldy|Heavy Weapons|2
Psychic-Wave Cannon, V|—|20|990,000|7d12 |60 ft.|demoralize|20 charges|4|2|blast, living, mind-affecting, unwieldy|Heavy Weapons|2
Hailcannon, Subzero|Cryo|1|275|1d8 C & P|60 ft.|staggered|20 charges|2|2|automatic|Heavy Weapons|2
Ice Launcher, Aufeis|Cryo|2|760|1d12 B & C|60 ft.|knockdown|20 charges|4|3|unwieldy|Heavy Weapons|2
Coolant Sprayer, Hiemal|Cryo|3|1,600|1d4 C|20 ft.|staggered|40 charges|4|3|blast, entangle (1d4 rounds), unwieldy|Heavy Weapons|2
Energy Converter, Tactical|Cryo|4|2,400|1d6 C|90 ft.|staggered|20 charges|1|3|explode (10 ft.), unwieldy|Heavy Weapons|2
Ice Launcher, Iceberg|Cryo|5|3,100|2d8 B & C|60 ft.|knockdown|40 charges|4|3|unwieldy|Heavy Weapons|2
Hailcannon, Gelid|Cryo|6|4,350|2d8 C & P|60 ft.|staggered|40 charges|4|2|automatic|Heavy Weapons|2
Coolant Sprayer, Algid|Cryo|7|7,400|1d6 C|30 ft.|staggered|40 charges|4|3|blast, entangle (1d4 rounds), unwieldy|Heavy Weapons|2
Ice Launcher, Floe|Cryo|8|9,430|3d12 B & C|60 ft.|knockdown|40 charges|8|3|unwieldy|Heavy Weapons|2
Hailcannon, Ultracold|Cryo|9|14,300|4d8 C & P|80 ft.|staggered|40 charges|4|2|automatic|Heavy Weapons|2
Energy Converter, Advanced|Cryo|10|20,900|2d8 C|90 ft.|staggered|20 charges|1|3|explode (15 ft.), unwieldy|Heavy Weapons|2
Frailty Cannon, Murder-Class|Cryo|10|20,900|3d6 C|60 ft.|—|40 charges|4|2|line, necrotic|Heavy Weapons|2
Zero Cannon, Tactical|Cryo|11|23,000|3d8 C|60 ft.|staggered|80 charges|4|2|line, unwieldy|Heavy Weapons|2
Coolant Sprayer, Glacial|Cryo|12|41,000|2d6 C|40 ft.|staggered|40 charges|4|3|blast, entangle (2d4 rounds), unwieldy|Heavy Weapons|2
Hailcannon, Absolute-Zero|Cryo|13|50,800|6d8 C & P|80 ft.|staggered|80 charges|5|2|automatic|Heavy Weapons|2
