Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
Needler Rifle|—|1|110|1d6 P|60 ft.|injection DC +2|12 darts|1|1|analog, injection|Long Arms|2
Caustolance, Liquidator|—|1|400|1d6 A|60 ft.|Injection DC +2|20 charges|1|1|Injection|Long Arms|2
Needler Rifle, Tactical|—|1|200|1d6 P|70 ft.|Injection DC +2|14 darts|1|1|Analog, injection|Long Arms|2
Needler Rifle, Advanced|—|5|3,000|1d8 P|70 ft.|Injection DC +2|14 darts|1|1|Analog, injection|Long Arms|2
Caustolance, Decimator|—|6|4,500|2d6 A|60 ft.|Injection DC +2|20 charges|1|1|Injection|Long Arms|2
Nanite Thrower, Tactical|—|9|13,300|—|60 ft.|wound|10 nanites|1|1|deconstruct 2d6|Long Arms|2
Needler Rifle, Elite|—|10|18,000|4d6 P|70 ft.|Injection DC +2|14 darts|1|1|Analog, injection|Long Arms|2
Caustolance, Executioner|—|12|38,000|5d6 A|60 ft.|Injection DC +2|20 charges|1|1|Injection|Long Arms|2
Nanite Thrower, Advanced|—|12|35,400|—|60 ft.|wound|10 nanites|1|1|deconstruct 3d6|Long Arms|2
Nanite Thrower, Elite|—|15|110,000|—|80 ft.|severe wound|10 nanites|2|1|deconstruct 4d6|Long Arms|2
Needler Rifle, Paragon|—|15|110,000|8d6 P|70 ft.|Injection DC +2|14 darts|1|1|Analog, injection|Long Arms|2
Caustolance, Eradicator|—|18|400,000|12d6 A|60 ft.|Injection DC +2|20 charges|1|1|Injection|Long Arms|2
Nanite Thrower, Paragon|—|20|830,000|—|80 ft.|severe wound|10 nanites|2|1|deconstruct 5d6|Long Arms|2
Needler Rifle, Supreme|—|20|850,000|16d6 P|70 ft.|Injection DC +2|14 darts|1|1|Analog, injection|Long Arms|2
Numbing Beam, Tactical|Cryo|1|370|1d6 C|50 ft.|staggered|20 charges|1|1|nonlethal|Long Arms|2
Ice Carbine, Subzero|Cryo|2|510|1d8 C & P|60 ft.|—|20 charges|2|2|automatic|Long Arms|2
Void Rifle, Grave-Class|Cryo|2|1,020|1d6 C|60 ft.|suffocate|20 charges|1|1|antibiological|Long Arms|2
