Name|Level|Price|EAC Bonus|KAC Bonus|Maximum Dex Bonus|Armor Check Penalty|Speed Adjustment|Upgrade Slots|Bulk|Proficiency|Source|Description|Speed|Strength|Damage|Size|Capacity|Usage|Weapon Slots
Goblin Battle Jack|2|950|6|8|2|-5|0|1|18|Powered|Starfinder Society Roleplaying Guild Scenario #1-09: Live Exploration Extreme! pg. 26|A set of goblin armor.|30 feet|16 (+3)|1d8 B|Medium|20|1/hour|1
Cargo Lifter|4|2,150|0|7|0|-10|0|0|34|Powered|Starfinder Core Rulebook pg. 204|A cargo lifter consists of a simple metal frame atop slow-moving legs or treads. Rather than having articulated hands, its arms end in specialized gripping tools meant to lift bulky containers. A cargo lifter can’t use weapons and takes a –4 penalty to all attack rolls. It can carry 10 bulk more than normal for its Strength score without becoming encumbered or overburdened.|15 feet|20 (+5)|1d10 B|Large (5-foot reach)|40|1/minute|0
Scrapper's Rig|4|2,150|5|9|2|-6|0|1|22|Powered|Starfinder Armory pg. 78|Most often constructed by desperate scavengers or goblins, a scrapper’s rig is a mismatched, ungainly amalgamation of exposed wires, steel plates, and leaky hydraulics. You cannot run or charge when wearing a scrapper’s rig.|20 ft.|16 (+3)|1d8 B|Medium|20|1/hour|3
Absorptive Shell|5|3,375|7|12|3|-3|0|1|18|Powered|Starfinder Armory pg. 74|This powered armor consists of a thin frame around a central command unit (which fits around the torso for a typical wearer), covered in form-fitting plates filled with a rheopectic fluid that hardens when struck, dispersing force throughout the armor and absorbing crushing blows. Although an absorptive shell provides significant protection, the fluid-filled plates can’t support a weapon mount. Unlike many forms of powered armor which are primarily used as military combat gear, absorptive shells are also often used as safety equipment for skilled rescue workers operating in extremely hazardous conditions, ranging from areas prone to rockfalls, starship crashes, and vehicles that still have explosives and industrial chemicals leaking from them, to actual war zones where rescue workers may come under fire.|30 feet|18 (+4)|1d10 B|Medium|20|1/hour|0
Battle Harness|5|3,450|9|12|2|-4|0|1|20|Powered|Starfinder Core Rulebook pg. 204|The battle harness is the basic powered armor frame used by infantry units in professional militaries.|30 feet|18 (+4)|1d10 B|Medium|20|1/hour|1
Spacer Carapace|6|4,650|8|13|2|-3|0|2|20|Powered|Starfinder Armory pg. 78|This powered armor resembles a bulky humanoid insect, including helmet-mounted oxygen canisters that appear as stylized mandibles. The armor’s wide boots contain powerful magnets useful for navigating the exterior of starships and space stations for repair work or guard duty. You can move your land speed across metal surfaces in zero gravity without having to attempt checks if you are adjacent to a metal surface, you do not automatically move at the beginning of your turn each round. You also gain a +2 circumstance bonus to your AC against bull rush and trip combat maneuvers when you are standing on a metal surface.|30 ft.|18 (+4)|1d10 B|Medium|20|1/hour|1
Laborer Frame|7|7,500|10|13|2|-3|0|2|22|Powered|Alien Archive 2 pg. 11|A laborer frame resembles an anacite laborer. These armor frames allow weapon and upgrade modifications, mimicking the ways in which anacite laborers improve themselves. The frame is also reconfigurable for movement. When you buy the armor, the movement is set to one mode that you choose, but this mode can be changed with 1 hour of work using an engineering toolkit or tech workshop. The possible modes are detailed below.Advanced Treads: The land speed the armor grants you increases to 40 feet.Climbing Pads: The armor grants you a climb speed of 15 feet.Swim Jets: The armor grants you a swim speed of 15 feet.|30 ft.|18 (+4)|1d10 B|Medium|40|1/hour|2
Personal Submersible|7|7,200|10|14|2|-4|0|2|32|Powered|Starfinder Armory pg. 78|This bulky, bulbous armor is made of pressure-resistant plates with durable seals. Retractable ridges along the armor’s arms, legs, and back function as fins, providing increased mobility in most fluids. The armor grants you a swim speed and allows you to both breathe underwater and survive the pressure of thick atmospheres and great depths even when your environmental protections are not active.|20 ft., swim 30 ft.|18 (+4)|1d10 P|Large (5-ft. reach)|40|1/hour|1
Spellcaster's Aegis (Hybrid)|8|10,250|12|16|3|-3|0|2|35|Powered|Starfinder Armory pg. 79|A reinforced frame with sunburst patterns that shift and spin, this armor projects holographic runes in the air around you as you move. If you have at least 5 ranks in Mysticism and the ability to cast spells or use spell-like abilities, you can use these runes defensively, gaining a +2 enhancement bonus to saving throws against spells and spell-like abilities and a +2 enhancement bonus to dispel checks (such as when you cast dispel magic).|30 ft.|19 (+4)|1d10 N|Large (5-ft. reach)|40|1/hour|1
Brawler Frame|9|14,500|12|18|3|-3|0|2|38|Powered|Starfinder Armory pg. 75|Designed for brutal gladiatorial matches against other fighters in powered armor, a brawler frame consists of nanotech shock absorbers sandwiched between rigid metal plates. The default frame comes with blunt piston-powered fists designed to deal bludgeoning damage, but customized models with heavy blades or picks (dealing slashing or piercing damage, respectively) are not uncommon. Many owners paint their brawler frames with garish colors to be more distinctive in the arena.|30 ft.|20 (+5)|3d6 B|Large (10-ft. reach)|40|1/minute|3
