Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
Needler Pistol|—|1|105|1d4 P|30 ft.|injection DC +2|6 darts|1|0.1|analog, injection|Small Arms|1
Caustoject, Liquidator|—|1|225|1d4 A|30 ft.|Injection DC +2|20 charges|2|0.1|Injection|Small Arms|1
Cestus Pistol, Tactical|—|1|250|1d4 P|Reach ft.|—|1 round|1|0|Conceal, punch gun|Small Arms|1
Needler Pistol, Tactical|—|1|175|1d4 P|40 ft.|Injection DC +2|8 darts|1|1|Analog, injection|Small Arms|1
Glove Needler, Tactical|—|2|560|1d4 A|Reach ft.|Injection DC +2|1 round|1|0|Conceal, injection, punch gun|Small Arms|1
Acid Cannon, Micrergate|—|3|1,500|1d4 A|40 ft.|corrode 1d4|40 charges|2|0.1|Living, Swarm|Small Arms|1
Graviton Pistol, Linear|—|3|1,450|—|0 ft.|knockdown|20 charges|4|2|gravitation (10 ft.)|Small Arms|1
Nightarch Needler, Tactical|—|3|1,650|1d6 P|30 ft.|injection dc +2|5 darts|1|0.1|analog, injection|Small Arms|1
Shield Projector, Sentry|—|4|2,180|—|40 ft.|—|40 charges|4|2|shield 1d4, unwieldy|Small Arms|1
Sting Pistol, Ant|—|4|2,150|1d8 A & B|20 ft.|corrode 1d6|20 charges|5|0.1|living|Small Arms|1
Neutriad Pistol|—|5|3,200|1d6 B|60 ft.|pulse 1d6|20 charges|1|0.1|Force|Small Arms|1
Graviton Pistol, Vector|—|5|3,050|—|60 ft.|knockdown|40 charges|4|2|gravitation (15 ft.)|Small Arms|1
Needler Pistol, Advanced|—|5|2,700|1d6 P|40 ft.|Injection DC +2|8 darts|1|1|Analog, injection|Small Arms|1
Caustoject, Decimator|—|6|4,000|1d8 A|30 ft.|Injection DC +2|20 charges|2|0.1|Injection|Small Arms|1
Cestus Pistol, Advanced|—|6|4,170|1d12 P|Reach ft.|Bleed 1d4|1 round|1|0|Conceal, punch gun|Small Arms|1
Acid Cannon, Macrergate|—|7|7,000|2d6 A|40 ft.|corrode 2d4|40 charges|4|0.1|Living, Swarm|Small Arms|1
Glove Needler, Advanced|—|7|5,800|1d12 A|Reach ft.|Injection DC +2|1 round|1|0|Conceal, injection, punch gun|Small Arms|1
Tetrad Rings, Tactical|—|7|6,900|1d6 B|40 ft.|push (5 ft.)|20 charges|2|0.1|force|Small Arms|1
