Name|Category|Level|Price|Damage|Range|Critical|Capacity|Usage|Bulk|Special|Proficiency|Hands
Wraith-Sting Rifle, Yellow Jacket|—|1|375|—|40 ft.|injection DC +2|1 dart|1|1|injection, sniper (250 ft.), susbtle, unwieldy|Sniper Weapons|2
Wraith-Sting Rifle, Wasp|—|5|2,980|—|60 ft.|injection dc +3|1 dart|1|1|injection, sniper (500 ft.), susbtle, unwieldy|Sniper Weapons|2
Nanite Rifle, Tactical|—|10|20,100|2d12 A|60 ft.|wound|10 nanites|10|1|sniper (500 ft.), unwieldy|Sniper Weapons|2
Wraith-Sting Rifle, Hornet|—|14|71,200|—|80 ft.|injection dc +4|1 dart|1|1|injection, sniper (750 ft.), susbtle, unwieldy|Sniper Weapons|2
Nanite Rifle, Advanced|—|15|131,000|3d12 A|80 ft.|severe wound|10 nanites|5|1|sniper (750 ft.), unwieldy|Sniper Weapons|2
Nanite Rifle, Elite|—|19|648,000|6d12 A|100 ft.|severe wound|10 nanites|2|1|sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
Gamma Rifle, Terrestrial|Flame|4|2,120|1d10 F|80 ft.|irradiate|40 charges|4|1|radioactive, sniper (500 ft.), unwieldy|Sniper Weapons|2
Gamma Rifle, Ionizing|Flame|9|13,600|2d10 F|80 ft.|irradiate|40 charges|5|1|radioactive, sniper (500 ft.), unwieldy|Sniper Weapons|2
Gamma Rifle, Fusion|Flame|12|36,600|3d10 F|100 ft.|irradiate|40 charges|8|1|radioactive, sniper (750 ft.), unwieldy|Sniper Weapons|2
Gamma Rifle, Synchrotron|Flame|17|272,000|7d10 F|100 ft.|irradiate|40 charges|10|1|radioactive, sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
Diasporan Rifle, Tactical|Laser|1|350|1d8 F|70 ft.|—|10 charges|1|1|sniper (250 ft.), unwieldy|Sniper Weapons|2
Focus Rifle, Dual|Laser|3|1,400|2d4 F|100 ft.|burn 1d4|20 charges|4|1|penetrating, sniper (500 ft.), unwieldy|Sniper Weapons|2
Diasporan Rifle, Advanced|Laser|5|3,750|2d8 F|70 ft.|—|20 charges|1|2|sniper (500 ft.), unwieldy|Sniper Weapons|2
Focus Rifle, Triple|Laser|7|6,460|3d4 F|120 ft.|burn 2d4|40 charges|4|1|penetrating, sniper (650 ft.), unwieldy|Sniper Weapons|2
Diasporan Rifle, Elite|Laser|10|17,000|4d8 F|80 ft.|—|20 charges|1|2|sniper (750 ft.), unwieldy|Sniper Weapons|2
Focus Rifle, Quad|Laser|13|50,800|7d4 F|120 ft.|burn 3d4|40 charges|8|1|penetrating, sniper (800 ft.), unwieldy|Sniper Weapons|2
Diasporan Rifle, Ultra|Laser|15|110,000|6d8 F|80 ft.|—|30 charges|1|2|sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
Focus Rifle, Compound|Laser|18|375,000|13d4 F|150 ft.|burn 4d4|80 charges|8|1|penetrating, sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
Diasporan Rifle, Imperial|Laser|20|725,000|10d8 F|80 ft.|—|30 charges|1|2|sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-21|Plasma|2|1,070|1d8 E & F|60 ft.|—|20 charges|5|2|guided, sniper (250 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-28|Plasma|6|4,920|1d10 E & F|60 ft.|wound|40 charges|5|2|guided, sniper (250 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-37|Plasma|8|10,800|2d8 E & F|70 ft.|wound|40 charges|8|2|guided, sniper (500 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-42|Plasma|11|28,200|3d8 E & F|70 ft.|severe wound|80 charges|8|2|guided, sniper (500 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-62|Plasma|16|193,000|5d8 E & F|80 ft.|severe wound|80 charges|10|2|guided, sniper (750 ft.), unwieldy|Sniper Weapons|2
Plasma Guide, Series-73|Plasma|20|980,000|9d8 E & F|80 ft.|severe wound|100 charges|10|2|guided, sniper (1, 000 ft.), unwieldy|Sniper Weapons|2
