Name|Source|Item Level|Description
Anchoring|Starfinder Core Rulebook pg. 192|1|A weapon with the anchoring fusion has a chance to immobilize its targets. The weapon gains immobilization as a critical hit effect. If the weapon already has a critical hit effect, choose each time whether to apply the weapon’s normal critical hit effect or the immobilization effect. A target affected by the immobilization critical hit effect is unable to move from its space under its own power for 1d4 rounds. It cannot use any form of movement, including teleportation effects, to change its position. If the target is entirely contained in a mobile object (such as a starship or large vehicle), the target is immobile relative to its location within that object. Other creatures and forces can move the target normally.
Called|Starfinder Core Rulebook pg. 193|1|A weapon with the called fusion can be teleported to its owner’s hand as a swift action, even if the weapon is in the possession of another creature. This ability has a maximum range of 100 feet, and effects that block teleportation prevent the return of a called weapon. A weapon with the called fusion must be in your possession for at least 24 hours for this ability to function.
Defiant|Starfinder Core Rulebook pg. 193|1|A weapon with the defiant fusion resists efforts to be removed from its wielder. If you are wielding it when you are knocked unconscious, panicked, or stunned, it stays in your hand. You also gain a bonus to your KAC against combat maneuvers to disarm the weapon equal to one-fifth the weapon’s level (minimum +1).
Durable|Starfinder Core Rulebook pg. 194|1|The durable fusion uses magical runes and reinforcements to significantly increase a weapon’s toughness. When determining a weapon’s hardness, Hit Points, and saving throws, treat its item level as being 5 higher. For more about calculating these values, see Breaking Objects on page 409.
Glamered|Starfinder Core Rulebook pg. 194|1|As a standard action, a weapon with the glamered fusion can be commanded to change its appearance to assume the form of another object of similar size. The weapon retains all its properties (including bulk) when disguised but does not radiate magic. Only true seeing or similar magic reveals the true nature of a glamered weapon while it is in disguise. After a glamered weapon is used to make an attack, this fusion is suppressed for 1 minute.
Hindering|Starfinder #11: The Penumbra Protocol pg. 53|1|A hindering fusion turns a melee weapon into a device suitable for making your foes less capable of escaping and fighting back. The weapon grants you a circumstance bonus to attack rolls to attempt dirty trick, disarm, and trip combat maneuvers equal to 1 + one-sixth of the weapon’s level.
Hybridized|Starfinder Core Rulebook pg. 194|1|A weapon with the hybridized fusion replaces much of its technological functions with magic counterparts. It gains the analog weapon special property (see page 180), and the core function of the weapon is considered to be a hybrid of magic and technology (rather than only the fusion counting as a hybrid item). A hybridized weapon still consumes ammunition and battery charges normally.
Illuminating|Starfinder Core Rulebook pg. 194|1|The illuminating fusion causes a weapon to gain the bright weapon special property (see page 181). You can deactivate this fusion as a move action, in which case the weapon acts as if it does not have the bright property until it is reactivated (which also requires a move action).
Invigorating|Starfinder Armory pg. 64|1|The invigorating fusion fills its wielder with vigor when defeating foes. After making a successful attack with this weapon that drops a foe (by killing it or rendering it unconscious), you feel a rush of energy that eliminates the fatigued condition and reduces exhaustion to fatigue. If you were neither exhausted nor fatigued, you instead gain a +3 morale bonus to Strength-, Dexterity- and Constitution-based ability checks and skill checks, and you gain a +10 enhancement bonus to your speed for all of your modes of movement until the end of your next turn.
Ominous|Starfinder Core Rulebook pg. 194|1|A weapon with the ominous fusion trails a shadowy haze behind it and moans a menacing dirge in battle. The weapon gains intimidation as a critical hit effect. If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the intimidation effect. A target affected by the intimidation critical hit effect is shaken for 1d4 rounds (Fortitude save negates). A creature that gains the shaken condition from a weapon with the ominous fusion can’t gain that condition again from the same weapon for 24 hours.
Returning|Starfinder Core Rulebook pg. 195|1|You can add this fusion only to a weapon that has the thrown weapon special property. A returning weapon flies through the air back to you after you make a thrown ranged attack with it. It returns to you just before your next turn (and is therefore ready to use again in that turn). Catching the weapon when it comes back takes no action. If you can’t catch it, or if you have moved since throwing it, the weapon drops to the ground in the square from which you threw it.
Secured|Starfinder Armory pg. 65|1|The secured fusion ties the weapon to a single owner. When you use your weapon, it functions normally, but when wielded by any other, it remains inert and useless. Any analog, nonmagical properties of the weapon that do not require ammunition or charges still function, so a club would still be a club, but a pistol becomes merely an improvised weapon. Only the person who places a secured fusion seal on a weapon can remove it from that weapon. Once removed, the fusion seal can be affixed to a new weapon by a new owner. Even if not the owner, a character trained in Mysticism can remove an installed secured fusion or fusion seal using a process similar to transferring a fusion. For a fusion, this costs half as much as purchasing the fusion for the weapon on which it is currently installed; for a seal, this is half the cost of the seal itself. The process takes 8 hours. Afterward, a fusion can be installed on a new weapon and assigned a new owner for the installation cost, and a fusion seal can be used normally.
Soulfire|Starfinder Armory pg. 65|1|The soulfire fusion (and soulfire fusion seals) can only be applied to solarian weapon crystals. When you hit a target with a solar weapon augmented by a solarian weapon crystal with the soulfire fusion, you add your Charisma bonus to the damage done, in addition to your Strength bonus.
Stabilizing|Starfinder Armory pg. 65|1|The stabilizing fusion helps you keep your orientation in zero gravity. While wielding such a weapon, you can steady yourself even if you don’t have a surface to grab onto or a means of propulsion. If you do have such means, you can steady yourself as either a move action or a swift action. You gain a +4 bonus to checks to avoid gaining the off-kilter condition. Only melee weapons, small arms, and long arms can benefit from the stabilizing fusion.
Trailblazer|Starfinder Core Rulebook pg. 195|1|A weapon with the trailblazer fusion manages to alter the nature of its attacks to overcome the penalties of some natural environmental effects. Its attacks ignore the cover provided by bogs and the cover creatures submerged at least chest deep in water receive from attacks made from the surface. Fire damage dealt by the weapon to underwater targets does half normal damage (rather than the normal one-quarter), and other attacks made underwater deal full damage (rather than the normal half damage). Additionally, ranged attack rolls with the weapon don’t take a penalty due to the effects of storms, strong and severe winds, or windstorms. It can even be used to make ranged attacks in severe storms as if they were typical storms and in hurricaneforce winds as if they were strong winds. See Biomes on page 396 for more information on environments that impose attack penalties, and see Underwater Combat on page 405 for rules on attacking submerged targets.
Anarchic|Starfinder Core Rulebook pg. 192|2|The anarchic fusion imbues a weapon with divine energy from a chaotic deity. Any attacks with the weapon are chaotic-aligned. Damage from the weapon bypasses DR/chaotic and ignores the energy resistance of lawful dragons and lawful outsiders. The anarchic fusion can’t be added to weapons that have the axiomatic fusion.
Axiomatic|Starfinder Core Rulebook pg. 192|2|The axiomatic fusion imbues a weapon with divine energy from a lawful deity. Any attacks with the weapon are lawful-aligned. Damage from the weapon bypasses DR/lawful and ignores the energy resistance of chaotic dragons and chaotic outsiders. The axiomatic fusion can’t be added to weapons that have the anarchic fusion.
Blasting|Starfinder Core Rulebook pg. 192|2|The blasting fusion allows a weapon to make a single attack as a blast (see the blast weapon special property on page 180) once per day as a full action. This attack has a maximum range of 30 feet and deals half the weapon’s normal damage. Only ranged weapons that don’t have the automatic, explode, line, or thrown weapon special property can benefit from the blasting fusion. Weapons that don’t require attack rolls to affect their targets also can’t benefit from the blasting fusion.
Burst|Starfinder Core Rulebook pg. 193|2|With the burst fusion, a weapon’s energy damage can form a small explosion that spills onto a second target. The weapon gains the arc critical hit effect (see page 182). If the weapon already has a critical hit effect, when you score a critical hit, you can apply either the weapon’s normal critical hit effect or the arc effect. The amount of damage dealt to the secondary target is equal to one-third the level of the weapon with the burst fusion (minimum 1). Only weapons that deal acid, cold, electricity, fire, or sonic damage can benefit from a burst fusion. If your weapon deals more than one type of energy damage, you select one of those types for the arc critical hit effect to apply to secondary targets when the fusion is added.
Entangling|Starfinder Core Rulebook pg. 194|2|A weapon with the entangling fusion gains the entangle weapon special property (see page 181). Only a single attack each day may benefit from this property, and you must announce before making an attack that it is an entangle attack. Regardless of how many targets you can hit with a single attack from your weapon, only a single target of your choice is affected by the entangle condition. The entangle effect ends after 1d4 rounds if the target has not already escaped it. Only weapons that do bludgeoning, piercing, slashing, or cold damage can benefit from this fusion.
Holy|Starfinder Core Rulebook pg. 194|2|A weapon with the holy fusion becomes blessed with divine energy from a good deity. Any attacks with the fused weapon are good-aligned. Damage from the weapon bypasses DR/good and ignores the energy resistance of evil dragons, evil outsiders, and evil undead. The holy fusion cannot be added to weapons that have the unholy fusion.
